(53747, 115825.0)
(32820, 105079.0)
(170140, 84045.0)
(47795, 75392.0)
(10942, 75291.0)
(329, 73797.0)
(117304, 68072.0)
(1221, 66139.0)
(1136, 60590.0)
(615668, 54843.0)
(1435, 54778.0)
(1297, 54478.0)
(7021, 53532.0)
(11, 53460.0)
(177, 52219.0)
(165713, 47797.0)
(269, 46799.0)
(706784, 46295.0)
(1482, 46285.0)
(1186, 46019.0)
(211751, 45911.0)
(128, 45042.0)
(5945, 45029.0)
(316, 44738.0)
(448, 44499.0)
(1354, 44111.0)
(1463, 43197.0)
(32172, 41977.0)
(1610, 41833.0)
(522832, 40140.0)
(18648, 39485.0)
(1134, 38445.0)
(2168, 37790.0)
(104, 37518.0)
(96596, 36944.0)
(32440, 36855.0)
(694, 36343.0)
(135445, 35105.0)
(124558, 35061.0)
(403, 34561.0)
(61177, 34555.0)
(67919, 34427.0)
(51333, 34398.0)
(556576, 33810.0)
(904, 33772.0)
(1337, 33751.0)
(138763, 33581.0)
(1101, 33286.0)
(4439, 32957.0)
(617369, 32364.0)
(200, 31893.0)
(242, 31419.0)
(967, 30855.0)
(1618, 30642.0)
(272, 30572.0)
(182, 30569.0)
(6136, 30346.0)
(184833, 30345.0)
(1196, 30282.0)
(208379, 30271.0)
(479713, 30222.0)
(125948, 29831.0)
(416, 29747.0)
(321, 29659.0)
(15948, 29021.0)
(475, 28962.0)
(42, 28913.0)
(41532, 28856.0)
(8291, 28833.0)
(674, 28741.0)
(54829, 28454.0)
(119866, 28377.0)
(460458, 28317.0)
(497, 28284.0)
(181, 28214.0)
(177016, 28174.0)
(143551, 28084.0)
(218, 27961.0)
(2382, 27845.0)
(835, 27746.0)
(63420, 27451.0)
(78745, 27340.0)
(838407, 27289.0)
(66, 27160.0)
(1, 26924.0)
(978038, 26903.0)
(26558, 26879.0)
(423619, 26851.0)
(1629, 26739.0)
(946995, 26698.0)
(548, 26606.0)
(211030, 26469.0)
(195976, 26413.0)
(151, 26369.0)
(890016, 26301.0)
(60489, 26214.0)
(1007, 26201.0)
(460208, 26110.0)
(140354, 26070.0)
(64036, 25984.0)
(796669, 14081.0)
(1001331, 9790.0)
(996120, 6972.0)
(19808, 24650.0)
(872310, 11702.0)
(16873, 7960.0)
(857063, 12443.0)
(1001653, 7274.0)
(500402, 20391.0)
(570084, 20393.0)
(119803, 16431.0)
(998015, 11392.0)
(837876, 17875.0)
(614738, 22833.0)
(423070, 17060.0)
(883087, 7153.0)
(177414, 22408.0)
(877500, 11350.0)
(842676, 10643.0)
(651876, 17593.0)
(45079, 24049.0)
(660994, 16956.0)
(462281, 13460.0)
(246922, 13790.0)
(1103667, 4627.0)
(875243, 9428.0)
(450699, 23617.0)
(459990, 19807.0)
(396909, 22727.0)
(1053534, 8922.0)
(969276, 14146.0)
(694090, 9854.0)
(449688, 20209.0)
(690476, 8085.0)
(1180166, 2511.0)
(13509, 12759.0)
(877312, 9638.0)
(860736, 6577.0)
(1081493, 3605.0)
(902497, 6508.0)
(514441, 3588.0)
(909372, 4357.0)
(652077, 19462.0)
(235135, 14471.0)
(875211, 8361.0)
(10792, 14324.0)
(876086, 9125.0)
(79769, 23687.0)
(458840, 15747.0)
(810819, 8198.0)
(806370, 9855.0)
(31, 16664.0)
(809175, 8801.0)
(868346, 6957.0)
(877759, 10337.0)
(875274, 5916.0)
(943788, 11683.0)
(806857, 7820.0)
(874950, 8192.0)
(877088, 8189.0)
(821259, 9318.0)
(846874, 8453.0)
(877553, 13834.0)
(204154, 8795.0)
(874998, 5961.0)
(793848, 9526.0)
(876784, 6145.0)
(821325, 10962.0)
(874725, 7051.0)
(877784, 6201.0)
(877016, 5949.0)
(927200, 7237.0)
(878100, 5698.0)
(860346, 8178.0)
(876992, 6164.0)
(875587, 7163.0)
(868597, 6725.0)
(861781, 6097.0)
(875966, 6715.0)
(877236, 8637.0)
(928639, 5633.0)
(877025, 8166.0)
(860481, 11025.0)
(872371, 5966.0)
(821552, 6172.0)
(809092, 13313.0)
(708076, 6288.0)
(462633, 5776.0)
(425049, 9109.0)
(532667, 5928.0)
(453109, 10002.0)
(1125415, 5103.0)
(877307, 5993.0)
(440155, 24605.0)
(841115, 5971.0)
(453944, 6125.0)
(420779, 16264.0)
(899116, 5009.0)
(890983, 5164.0)
(899113, 4710.0)
