(53747, 0.13111768411251867)
(32820, 0.03887656451127042)
(170140, 0.01002382713006318)
(47795, 0.003560375756579852)
(10942, 0.002601813052885276)
(329, 0.002889381863993649)
(117304, 0.006367595103113927)
(1221, 0.0024511817708761287)
(1136, 0.008394270533782427)
(615668, 0.012310683866020203)
(1435, 0.005984170021636103)
(1297, 0.0011091939857037225)
(7021, 0.0007805439158655823)
(11, 0.0013967627968120952)
(177, 0.0014652315613617078)
(165713, 0.0016980253608303904)
(269, 0.0005751376222167447)
(706784, 0.0008490126804151949)
(1482, 0.001232437761893025)
(1186, 0.0013693752909922502)
(211751, 0.00501191356503162)
(128, 0.0009174814449648073)
(5945, 0.0006299126338564347)
(316, 0.0007394626571358148)
(448, 0.0010955002327938)
(1354, 0.0002464875523786049)
(1463, 0.0029030756169035714)
(32172, 0.0007120751513159698)
(1610, 0.0018623503957494606)
(522832, 0.0018623503957494606)
(18648, 0.007572645359187089)
(1134, 0.0006025251280365897)
(2168, 0.0002601813052885274)
(104, 0.0020814504423082207)
(96596, 0.0006846876454961248)
(32440, 0.0032591131925615567)
(694, 0.0005340563634869773)
(135445, 0.0006299126338564347)
(124558, 0.0011365814915235675)
(403, 0.0006162188809465122)
(61177, 0.0007668501629556598)
(67919, 0.00016432503491906994)
(51333, 0.001177662750253335)
(556576, 0.0159943033987893)
(904, 0.001739106619560158)
(1337, 0.0004108125872976747)
(138763, 0.00017801878782899242)
(1101, 0.0007120751513159698)
(4439, 0.0005340563634869772)
(617369, 0.004121819625886671)
(200, 0.010872839810478362)
(242, 0.00034234382274806233)
(967, 0.00017801878782899242)
(1618, 0.0005477501163968997)
(272, 0.0009037876920548848)
(182, 0.0002464875523786049)
(6136, 0.00016432503491906994)
(184833, 0.00034234382274806233)
(1196, 0.0003286500698381398)
(208379, 0.0004108125872976747)
(479713, 0.0006709938925862023)
(125948, 0.0002327937994686824)
(416, 0.0002601813052885274)
(321, 0.00010955002327937995)
(15948, 0.0008764001862350399)
(475, 0.0003286500698381398)
(42, 0.0011913565031632576)
(41532, 8.216251745953496e-05)
(8291, 0.0016706378550105454)
(674, 0.0005203626105770546)
(54829, 0.001793881631199848)
(119866, 0.00038342508147782975)
(460458, 0.0011365814915235675)
(497, 0.00016432503491906994)
(181, 0.0006573001396762799)
(177016, 0.0015610878317311653)
(143551, 0.0005751376222167447)
(218, 0.00104072522115411)
(2382, 0.0005614438693068222)
(835, 0.00015063128200914745)
(63420, 0.0004929751047572096)
(78745, 0.07172787774217816)
(838407, 0.006148495056555171)
(66, 0.00017801878782899242)
(1, 8.216251745953496e-05)
(978038, 0.003354969462931014)
(26558, 0.00017801878782899242)
(423619, 0.0005751376222167447)
(1629, 0.001232437761893025)
(946995, 0.005272094870320144)
(548, 9.585627036945745e-05)
(211030, 0.00010955002327937995)
(195976, 0.0006299126338564347)
(151, 0.0004108125872976747)
(890016, 0.005463807411059056)
(60489, 0.0004245063402075972)
(1007, 0.0002601813052885274)
(460208, 0.0011091939857037225)
(140354, 0.0006709938925862023)
(64036, 0.0033686632158409367)
(796669, 0.009914277106783801)
(1001331, 0.0025333442883356634)
(996120, 0.002492263029605896)
(19808, 0.00638128885602385)
(872310, 0.0019582066661189184)
(16873, 0.025333442883356306)
(857063, 0.0011639689973434125)
(1001653, 0.0011091939857037225)
(500402, 0.002163612959767756)
(570084, 0.0031632569221920993)
(119803, 0.006573001396762762)
(998015, 0.0012187440089831026)
(837876, 0.003560375756579852)
(614738, 0.001903431654479228)
(423070, 0.004491550954454573)
(883087, 0.0004518938460274422)
(177414, 0.002136225453947911)
(877500, 0.0005477501163968997)
(842676, 0.0003286500698381398)
(651876, 0.002259469230137213)
(45079, 0.0022320817243173686)
(660994, 0.0006162188809465122)
(462281, 0.0007531564100457373)
(246922, 0.0014515378084517853)
(1103667, 0.00010955002327937995)
(875243, 0.0003149563169282173)
(450699, 0.000958562703694575)
(459990, 0.0007120751513159698)
(396909, 0.0007805439158655823)
(1053534, 0.001656944102100623)
(969276, 0.001985594171938763)
(694090, 0.0007531564100457373)
(449688, 0.0006436063867663572)
(690476, 0.00012324377618930243)
(1180166, 0.00010955002327937996)
(13509, 0.00028756881110837234)
(877312, 0.00020540629364883744)
(860736, 0.00015063128200914745)
(1081493, 0.00045189384602744225)
(902497, 0.00016432503491906994)
(514441, 0.00016432503491906994)
(909372, 0.0002464875523786049)
(652077, 0.0005340563634869772)
(235135, 0.003190644428011944)
(875211, 0.00016432503491906994)
(10792, 0.00030126256401829485)
(876086, 0.00016432503491906994)
(79769, 0.001739106619560158)
(458840, 0.0003149563169282173)
(810819, 0.00010955002327937995)
(806370, 0.00010955002327937995)
(31, 0.0014652315613617078)
(809175, 9.585627036945747e-05)
(868346, 5.4775011639689975e-05)
(877759, 0.00020540629364883744)
(875274, 9.585627036945745e-05)
(943788, 0.0006162188809465122)
(806857, 8.216251745953497e-05)
(874950, 0.00012324377618930243)
(877088, 0.00015063128200914745)
(821259, 0.00015063128200914745)
(846874, 0.0008216251745953499)
(877553, 0.0005477501163968997)
(204154, 0.00036973132856790724)
(874998, 2.7387505819844987e-05)
(793848, 0.00015063128200914745)
(876784, 9.585627036945745e-05)
(821325, 0.00016432503491906994)
(874725, 9.585627036945747e-05)
(877784, 9.585627036945745e-05)
(877016, 6.846876454961247e-05)
(927200, 8.216251745953496e-05)
(878100, 5.4775011639689975e-05)
(860346, 0.00010955002327937995)
(876992, 4.108125872976748e-05)
(875587, 9.585627036945745e-05)
(868597, 8.216251745953496e-05)
(861781, 6.846876454961247e-05)
(875966, 0.00013693752909922494)
(877236, 0.00013693752909922494)
(928639, 0.00024648755237860487)
(877025, 9.585627036945745e-05)
(860481, 0.00017801878782899242)
(872371, 2.7387505819844987e-05)
(821552, 4.108125872976748e-05)
(809092, 0.00019171254073891493)
(708076, 0.00017801878782899242)
(462633, 0.00019171254073891493)
(425049, 0.00039711883438775227)
(532667, 0.00010955002327937995)
(453109, 0.0006709938925862023)
(1125415, 0.00020540629364883742)
(877307, 2.7387505819844987e-05)
(440155, 0.002300550488866981)
(841115, 9.585627036945745e-05)
(453944, 0.00016432503491906994)
(420779, 0.0002327937994686824)
(899116, 4.108125872976748e-05)
(890983, 5.4775011639689975e-05)
(899113, 1.3693752909922494e-05)
