;Betweeness;Eigenvector;In_degree;Out_degree;Page_Rank
Betweeness;1;0,37440728;0,417404315;0,193234327;0,455657546
Eigenvector;0,37440728;1;0,802311558;-0,293165829;0,763115578
In_degree;0,417404315;0,802311558;1;-0,256281407;0,844824121
Out_degree;0,193234327;-0,293165829;-0,256281407;1;-0,266130653
Page_Rank;0,455657546;0,763115578;0,844824121;-0,266130653;1
