;Betweeness;Eigenvector;In_degree;Out_degree;Page_Rank
Betweeness;1;0,516461269;0,581394177;0,273349366;0,623869899
Eigenvector;0,516461269;1;0,941651541;-0,504099602;0,909540239
In_degree;0,581394177;0,941651541;1;-0,446289657;0,958559964
Out_degree;0,273349366;-0,504099602;-0,446289657;1;-0,465731643
Page_Rank;0,623869899;0,909540239;0,958559964;-0,465731643;1
