;Betweeness;Eigenvector;In_degree;Out_degree;Page_Rank
Betweeness;1;0,336556381;0,384585414;0,209118003;0,420808991
Eigenvector;0,336556381;1;0,808341709;-0,312361809;0,768844221
In_degree;0,384585414;0,808341709;1;-0,281105528;0,847336683
Out_degree;0,209118003;-0,312361809;-0,281105528;1;-0,288844221
Page_Rank;0,420808991;0,768844221;0,847336683;-0,288844221;1
