(53747, 0.13039191520829269)
(32820, 0.03891764577000019)
(170140, 0.010420945964450926)
(10942, 0.002355325500506671)
(329, 0.0026976693232547335)
(117304, 0.006230657574014704)
(1221, 0.002437488017966206)
(1136, 0.007942376687754991)
(615668, 0.011708158737983622)
(1435, 0.005094076082491154)
(1297, 0.0011365814915235675)
(7021, 0.0008764001862350398)
(11, 0.001232437761893025)
(177, 0.0014378440555418627)
(165713, 0.0016706378550105454)
(269, 0.0007805439158655823)
(1482, 0.0012461315148029476)
(706784, 0.0009996439624243424)
(1186, 0.001793881631199848)
(211751, 0.005176238599950688)
(128, 0.0009722564566044974)
(5945, 0.0007531564100457373)
(316, 0.0008900939391449624)
(448, 0.0008216251745953499)
(1354, 0.00036973132856790724)
(1463, 0.0030400131460027965)
(32172, 0.0006983813984060473)
(1610, 0.0019582066661189184)
(522832, 0.001985594171938763)
(18648, 0.006490838879303228)
(1134, 0.0005066688576671321)
(2168, 0.0002191000465587599)
(104, 0.001766494125380003)
(96596, 0.0007120751513159698)
(32440, 0.0031769506751020216)
(694, 0.00038342508147782975)
(135445, 0.0004245063402075972)
(61177, 0.0005751376222167447)
(403, 0.0007120751513159698)
(67919, 0.00012324377618930243)
(51333, 0.00104072522115411)
(556576, 0.016487278503546504)
(904, 0.0014926190671815528)
(1337, 0.0002327937994686824)
(138763, 0.0002601813052885274)
(1101, 0.0006846876454961248)
(4439, 0.0005888313751266672)
(617369, 0.003971188343877524)
(200, 0.011420589926875254)
(242, 0.0004518938460274422)
(967, 0.00028756881110837234)
(1618, 0.0004382000931175197)
(182, 0.0002738750581984499)
(272, 0.0009037876920548848)
(6136, 0.0002191000465587599)
(184833, 0.00039711883438775227)
(1196, 0.00036973132856790724)
(208379, 0.0004108125872976747)
(479713, 0.0004518938460274422)
(125948, 0.0003286500698381398)
(416, 0.00021910004655875993)
(321, 0.00020540629364883744)
(15948, 0.0008627064333251173)
(475, 0.0004929751047572097)
(42, 0.00115027524443349)
(41532, 5.4775011639689975e-05)
(8291, 0.0014241503026319402)
(674, 0.0003286500698381398)
(54829, 0.0015610878317311653)
(119866, 0.0003286500698381398)
(460458, 0.00098595020951442)
(497, 0.0002601813052885274)
(181, 0.0006573001396762799)
(177016, 0.0015063128200914753)
(143551, 0.0006162188809465122)
(218, 0.0009037876920548849)
(2382, 0.0005751376222167447)
(835, 0.0002875688111083724)
(63420, 0.00036973132856790724)
(78745, 0.07175526524799801)
(838407, 0.006696245172952062)
(66, 0.00017801878782899242)
(978038, 0.003642538274039387)
(1, 8.216251745953496e-05)
(26558, 0.00010955002327937995)
(423619, 0.00036973132856790724)
(1629, 0.0011365814915235675)
(946995, 0.0046969572481034075)
(548, 9.585627036945745e-05)
(211030, 0.00012324377618930243)
(195976, 0.0006025251280365898)
(151, 0.0004792813518472872)
(890016, 0.005682907457617813)
(60489, 0.00039711883438775227)
(1007, 0.00036973132856790724)
(460208, 0.0010544189740640324)
(140354, 0.0006573001396762798)
(64036, 0.0031769506751020216)
(6886, 0.0002875688111083724)
(304974, 0.0004655875989373648)
(796669, 0.01050310848191046)
(1001331, 0.002574425547065431)
(996120, 0.0020814504423082207)
(19808, 0.006408676361843694)
(872310, 0.002191000465587601)
(16873, 0.02638786185742032)
(857063, 0.0012872127735327151)
(1001653, 0.00120505025607318)
(500402, 0.0014378440555418627)
(570084, 0.003532988250760007)
(119803, 0.007011201489880275)
(998015, 0.0015063128200914753)
(837876, 0.002834606852353959)
(614738, 0.001903431654479228)
(423070, 0.003875332073508068)
(883087, 0.0004108125872976747)
(177414, 0.002273162983047136)
(877500, 0.0005888313751266672)
(842676, 0.00019171254073891493)
(651876, 0.002149919206857833)
(45079, 0.002505956782515819)
(660994, 0.0006983813984060473)
(462281, 0.0007394626571358148)
(246922, 0.0015610878317311653)
(1103667, 0.00017801878782899242)
(875243, 0.0004382000931175197)
(450699, 0.0007942376687755049)
(459990, 0.0006709938925862023)
(396909, 0.0006983813984060473)
(1053534, 0.0016432503491907004)
(969276, 0.0021088379481280658)
(694090, 0.0007668501629556598)
(449688, 0.0005888313751266672)
(1180166, 0.00012324377618930243)
(13509, 0.00038342508147782975)
(877312, 0.0002738750581984499)
(860736, 0.00019171254073891493)
(1081493, 0.0005066688576671321)
(902497, 0.00016432503491906994)
(514441, 0.00030126256401829485)
(909372, 8.216251745953496e-05)
(652077, 0.0006162188809465122)
(235135, 0.0034919069920302396)
(875211, 0.00010955002327937996)
(10792, 0.00038342508147782975)
(876086, 6.846876454961247e-05)
(79769, 0.001711719113740313)
(458840, 0.00038342508147782975)
(810819, 5.4775011639689975e-05)
(806370, 0.00012324377618930243)
(31, 0.0014104565497220177)
(809175, 0.00017801878782899242)
(868346, 4.108125872976748e-05)
(877759, 0.00012324377618930243)
(875274, 0.00015063128200914745)
(943788, 0.0006162188809465122)
(806857, 9.585627036945745e-05)
(874950, 8.216251745953496e-05)
(877088, 0.00016432503491906994)
(821259, 0.00010955002327937996)
(846874, 0.0006299126338564347)
(877553, 0.0003286500698381398)
(204154, 0.0003012625640182948)
(874998, 9.585627036945745e-05)
(793848, 0.0002738750581984499)
(876784, 0.00013693752909922494)
(821325, 0.00016432503491906994)
(874725, 0.00012324377618930243)
(877784, 0.00017801878782899242)
(877016, 2.7387505819844987e-05)
(927200, 9.585627036945745e-05)
(878100, 9.585627036945745e-05)
(860346, 0.00010955002327937995)
(876992, 8.216251745953496e-05)
(875587, 5.4775011639689975e-05)
(868597, 8.216251745953496e-05)
(861781, 6.846876454961247e-05)
(875966, 0.00012324377618930243)
(928639, 0.00019171254073891493)
(877236, 0.00016432503491906994)
(877025, 6.846876454961247e-05)
(860481, 0.00020540629364883744)
(872371, 0.00013693752909922494)
(821552, 4.108125872976748e-05)
(809092, 0.0002875688111083724)
(708076, 0.00024648755237860487)
(462633, 0.00015063128200914745)
(425049, 0.0003286500698381398)
(532667, 4.108125872976748e-05)
(453109, 0.0005614438693068222)
(1125415, 0.0002464875523786049)
(877307, 0.00017801878782899242)
(440155, 0.0019992879248486857)
(841115, 0.00012324377618930243)
(453944, 0.00016432503491906994)
(420779, 0.00036973132856790724)
(899116, 0.0)
(890983, 4.108125872976748e-05)
(899113, 2.7387505819844987e-05)
(890992, 6.846876454961247e-05)
