;Betweeness;Eigenvector;In_degree;Out_degree;Page_Rank
Betweeness;1;0,320721992;0,408388657;0,298758281;0,497984734
Eigenvector;0,320721992;1;0,924656527;-0,308565793;0,845554639
In_degree;0,408388657;0,924656527;1;-0,349671846;0,954313902
Out_degree;0,298758281;-0,308565793;-0,349671846;1;-0,34159443
Page_Rank;0,497984734;0,845554639;0,954313902;-0,34159443;1
