;Betweeness;Eigenvector;In_degree;Out_degree;Page_Rank
Betweeness;1;0,36007125;0,405874653;0,200667334;0,44027765
Eigenvector;0,36007125;1;0,804824121;-0,286130653;0,760301508
In_degree;0,405874653;0,804824121;1;-0,244924623;0,834070352
Out_degree;0,200667334;-0,286130653;-0,244924623;1;-0,264522613
Page_Rank;0,44027765;0,760301508;0,834070352;-0,264522613;1
