;Betweeness;Eigenvector;In_degree;Out_degree;Page_Rank
Betweeness;1;0,506505828;0,57324318;0,287746743;0,61078655
Eigenvector;0,506505828;1;0,942854571;-0,497158929;0,907323183
In_degree;0,57324318;0,942854571;1;-0,433746344;0,952688817
Out_degree;0,287746743;-0,497158929;-0,433746344;1;-0,464195605
Page_Rank;0,61078655;0,907323183;0,952688817;-0,464195605;1
