(84042, 0.12201313743533608)
(44955, 0.038492050899628406)
(178511, 0.00982134357249389)
(73696, 0.004172881033224388)
(13080, 0.002808364801827822)
(345, 0.002681433059372327)
(714, 0.011249325675118228)
(143855, 0.006536984736457949)
(1242, 0.002300637832005842)
(141562, 0.008123631517151626)
(13, 0.0013803826992035042)
(1160, 0.007012978770666049)
(7229, 0.0007298575191190935)
(620183, 0.011201726271697417)
(1459, 0.004871005616729601)
(1320, 0.0011106527464855775)
(183, 0.001158252149906388)
(1208, 0.001396249167010441)
(235810, 0.0014597150382381885)
(281, 0.001158252149906388)
(711152, 0.001285183892361883)
(1504, 0.0009043886649953985)
(305439, 0.004855139148922665)
(132, 0.0009043886649953985)
(6053, 0.0005235934376289149)
(332, 0.0005711928410497254)
(464, 0.0009202551328023353)
(1377, 0.00023799701710405227)
(1487, 0.0023323707676197163)
(44125, 0.0007615904547329671)
(1635, 0.0014755815060451254)
(512638, 0.0017135785231491784)
(22177, 0.006933646431631366)
(1158, 0.0005077269698219782)
(108, 0.001634246184114494)
(2211, 0.0001427982102624314)
(96203, 0.0005711928410497254)
(44690, 0.0033319582394567386)
(153244, 0.0006187922444705358)
(2427, 0.000602925776663599)
(188, 0.0008409227937676512)
(433, 0.00019039761368324184)
(182380, 0.0009043886649953985)
(2470, 0.00022213054929711546)
(418, 0.00023799701710405227)
(107979, 0.00017453114587630503)
(72348, 0.0014279821026243148)
(563885, 0.012359978421603824)
(1360, 0.00039666169517342043)
(926, 0.0013169168279757568)
(129836, 0.0003649287595595468)
(1126, 0.0007457239869260303)
(693, 0.00039666169517342043)
(621984, 0.004442610985942312)
(4512, 0.0006346587122774726)
(158, 0.0005870593088566623)
(208, 0.010662266366261556)
(253, 0.0004601275664011677)
(991, 0.00025386348491098913)
(692, 0.0003173293561387364)
(1642, 0.0005077269698219782)
(284, 0.0009043886649953986)
(189, 0.0001427982102624314)
(263576, 0.0003807952273664836)
(1218, 0.00017453114587630503)
(299295, 0.00042839463078729405)
(96702, 0.0007298575191190935)
(414869, 0.0005235934376289149)
(368083, 0.0009519880684162089)
(95505, 0.0005077269698219782)
(184583, 0.0002221305492971155)
(337, 0.00015866467806936822)
(16491, 0.0009043886649953987)
(491, 0.0003649287595595468)
(45, 0.0012534509567480093)
(59949, 7.933233903468411e-05)
(8871, 0.0013486497635896305)
(175162, 0.00023799701710405232)
(86902, 0.001285183892361883)
(392033, 0.0008409227937676512)
(513, 0.0002221305492971155)
(250856, 0.0020309078792879157)
(189975, 0.0005711928410497254)
(1996, 0.0008567892615745881)
(228, 0.0007933233903468408)
(845641, 0.008266429727414057)
(857, 0.00015866467806936822)
(1598, 0.010059340589597947)
(99865, 0.00023799701710405227)
(123680, 0.06844794211912235)
(984587, 0.004125281629803579)
(70, 0.0002221305492971155)
(336293, 0.00015866467806936822)
(5898, 0.0004918605020150413)
(1, 9.519880684162092e-05)
(229897, 0.0003807952273664836)
(37807, 0.0001427982102624314)
(340132, 0.0003649287595595468)
(281349, 0.0005711928410497254)
(1653, 0.00104718687525783)
(290, 0.025116618538381236)
(805347, 0.008425094405483427)
(1007802, 0.002348237235426653)
(1002661, 0.0015073144416589991)
(23943, 0.006584584139878759)
(897399, 0.00563259607146256)
(877052, 0.0016818455875353047)
(872757, 0.0023799701710405267)
(20062, 0.024481959826103752)
(1008136, 0.001285183892361883)
