(84042, 0.05758059041828478)
(44955, 0.06251785554669777)
(178511, 0.03777488188660732)
(73696, 0.0563378984296889)
(13080, 0.04461764133798063)
(345, 0.04887989325578319)
(714, 0.05296308339691118)
(143855, 0.033946402706334186)
(1242, 0.04729564587551553)
(141562, 0.046379424514884755)
(13, 0.046192886255492026)
(1160, 0.04100902850460836)
(7229, 0.045187341045989315)
(620183, 0.027721298251920514)
(1459, 0.043844721962202925)
(1320, 0.04497265769799995)
(183, 0.03797584308235339)
(1208, 0.04101419058482884)
(235810, 0.02862299382483937)
(281, 0.04098021287203229)
(711152, 0.02448647027811996)
(1504, 0.03611262966203338)
(305439, 0.029210105439328036)
(132, 0.0354396652900548)
(6053, 0.03740482735986402)
(332, 0.03725167962256197)
(464, 0.03559635278124403)
(1377, 0.037631496733457705)
(1487, 0.039525276930831306)
(44125, 0.029530259240767357)
(1635, 0.03304467394322349)
(512638, 0.023574922114543057)
(22177, 0.027800630763584515)
(1158, 0.032341339389905376)
(108, 0.03639016175181954)
(2211, 0.034108604195193244)
(96203, 0.03687793631453519)
(44690, 0.03135653208391102)
(153244, 0.030260398289156606)
(2427, 0.03439797872456726)
(188, 0.034247346376561155)
(433, 0.03558724704708179)
(182380, 0.023551647182100684)
(2470, 0.024487663757239844)
(418, 0.03363522986078774)
(107979, 0.026498604891732207)
(72348, 0.033466946469619674)
(563885, 0.01341298843204382)
(1360, 0.03309669203934102)
(926, 0.031182583034286535)
(129836, 0.02833566378493057)
(1126, 0.032031280144245666)
(693, 0.030768124047988888)
(621984, 0.01904439848647427)
(4512, 0.031173835831823486)
(158, 0.033972544217294794)
(208, 0.021955409185680952)
(253, 0.03216494722378326)
(991, 0.028523539011926776)
(692, 0.030260193369164183)
(1642, 0.0239588335398849)
(284, 0.03149009423634174)
(189, 0.02948296589807635)
(263576, 0.025537478706609214)
(1218, 0.028582558299954666)
(299295, 0.022851020313786018)
(96702, 0.031444991505677235)
(414869, 0.021550440930614527)
(368083, 0.0269572130770063)
(95505, 0.03315587587460935)
(184583, 0.020744235254232204)
(337, 0.027633520224800822)
(16491, 0.021831606705116916)
(491, 0.02962530397723114)
(45, 0.030817415564163366)
(59949, 0.026353523068099488)
(8871, 0.021664502459551014)
(175162, 0.02343126297553567)
(86902, 0.025452659279593042)
(392033, 0.015019862288370302)
(513, 0.03163336313449578)
(250856, 0.014770225510647562)
(189975, 0.021855133487934206)
(1996, 0.030912703515345172)
